epoch,acc,loss,lr,val_acc,val_loss
0,0.7360131740570068,0.5956963896751404,1e-04,0.8482103943824768,0.6597610116004944
1,0.932302713394165,0.4069157838821411,1e-04,0.8482562899589539,0.598388671875
2,0.9612391591072083,0.330957293510437,1e-04,0.8482562899589539,0.5368014574050903
3,0.9707659482955933,0.2761951684951782,1e-04,0.8482562899589539,0.49274206161499023
4,0.9783017039299011,0.22678497433662415,1e-04,0.8422985076904297,0.46529364585876465
5,0.98016756772995,0.19061866402626038,1e-04,0.8482429385185242,0.4300746023654938
6,0.9849832653999329,0.15279895067214966,1e-04,0.8487775325775146,0.41519492864608765
7,0.9881312847137451,0.12359602749347687,1e-04,0.8513199090957642,0.40517935156822205
8,0.9886105060577393,0.10273407399654388,1e-04,0.8581317663192749,0.41425228118896484
9,0.9883274435997009,0.09016337245702744,1e-04,0.8843165040016174,0.34177517890930176
10,0.9874390959739685,0.08223865926265717,1e-04,0.8938885927200317,0.32139700651168823
11,0.9889487624168396,0.06809832155704498,1e-04,0.9081916809082031,0.27702784538269043
12,0.9910719394683838,0.05602135509252548,1e-04,0.9357982873916626,0.21632742881774902
13,0.9924783110618591,0.04588165134191513,1e-04,0.9514728784561157,0.1672038733959198
14,0.9913137555122375,0.045853886753320694,1e-04,0.956912636756897,0.1473165899515152
15,0.9901835322380066,0.04238833487033844,1e-04,0.9386942386627197,0.2396257370710373
16,0.9883852601051331,0.0471874438226223,1e-04,0.41073939204216003,10.396048545837402
17,0.982469916343689,0.07289452850818634,1e-04,0.8727651238441467,0.5649945735931396
18,0.9873290061950684,0.04742135480046272,1e-04,0.9287771582603455,0.28279829025268555
19,0.988491952419281,0.04269254207611084,1e-05,0.95625239610672,0.14342746138572693
20,0.9929742813110352,0.029628897085785866,1e-05,0.9604282379150391,0.12188611924648285
21,0.9936922192573547,0.02774256095290184,1e-05,0.9607595801353455,0.11780568212270737
22,0.9939562082290649,0.02682286500930786,1e-05,0.9606673121452332,0.11658509075641632
23,0.9941437244415283,0.026118358597159386,1e-05,0.9606300592422485,0.1162990927696228
24,0.9942921996116638,0.025517528876662254,1e-05,0.9606479406356812,0.11635297536849976
25,0.9944261908531189,0.02498050034046173,1e-05,0.960724413394928,0.11647196859121323
26,0.994555652141571,0.024483824148774147,1e-05,0.9608466029167175,0.11657091230154037
27,0.9946787357330322,0.024014640599489212,1e-05,0.9609896540641785,0.11667318642139435
28,0.9947679042816162,0.02367107756435871,1e-06,0.9605794548988342,0.11856164038181305
29,0.9948007464408875,0.023607773706316948,1e-06,0.9604226350784302,0.11941424757242203
30,0.9948245286941528,0.023552462458610535,1e-06,0.9603870511054993,0.11972194910049438
31,0.9948444366455078,0.023500902578234673,1e-06,0.9603987336158752,0.11978922039270401
32,0.9948592185974121,0.023459073156118393,1e-07,0.9603704810142517,0.11994162946939468
33,0.9948612451553345,0.02345406264066696,1e-07,0.9603583216667175,0.12000881135463715
34,0.9948632121086121,0.02344890870153904,1e-07,0.9603540897369385,0.1200353279709816
35,0.9948651790618896,0.023443596437573433,1e-07,0.9603559970855713,0.120042584836483
36,0.9948666095733643,0.023439055308699608,1e-08,0.9603515863418579,0.12005976587533951
37,0.9948669672012329,0.023438671603798866,1e-08,0.9603506922721863,0.12006755918264389
38,0.9948672652244568,0.02343827858567238,1e-08,0.9603492617607117,0.12007101625204086
39,0.9948674440383911,0.023437872529029846,1e-08,0.9603492617607117,0.1200723797082901
40,0.9948676824569702,0.023437492549419403,1e-09,0.96034836769104,0.12007477134466171
41,0.9948676824569702,0.023437483236193657,1e-09,0.9603481292724609,0.12007591873407364
42,0.9948676824569702,0.02343747392296791,1e-09,0.9603478908538818,0.12007645517587662
43,0.9948676824569702,0.023437464609742165,1e-09,0.960347592830658,0.12007670104503632
